epoch,train_loss,train_acc,val_loss,val_acc
1,1.8409,26.40,1.7226,35.52
2,1.7369,31.92,1.6409,39.56
3,1.6928,35.06,1.5879,42.49
4,1.6678,36.61,1.5610,44.53
5,1.6495,37.99,1.5366,45.11
6,1.6420,38.16,1.5407,46.91
7,1.6264,39.31,1.5148,46.74
8,1.6225,39.15,1.5137,47.31
9,1.6161,39.74,1.5112,47.18
10,1.6090,40.09,1.4913,47.55
11,1.6003,40.95,1.4949,47.79
12,1.5933,41.28,1.4712,50.10
13,1.5917,41.50,1.4770,49.93
14,1.5827,41.94,1.4673,49.46
15,1.5800,42.22,1.4477,50.51
16,1.5722,42.33,1.4470,50.37
17,1.5624,42.96,1.4512,50.61
18,1.5476,44.41,1.4099,53.13
19,1.5281,46.07,1.4099,53.60
20,1.5121,47.06,1.3928,53.40
21,1.4984,47.92,1.3824,54.76
22,1.4847,49.40,1.3830,55.51
23,1.4705,49.94,1.3613,56.25
24,1.4508,51.34,1.3632,55.40
25,1.4377,51.98,1.3402,56.29
26,1.4278,52.30,1.3493,55.30
27,1.4129,53.10,1.3224,57.24
28,1.4026,54.02,1.3081,58.84
29,1.3932,54.68,1.3083,57.99
30,1.3863,55.06,1.3161,56.76
31,1.3696,55.59,1.3029,58.19
32,1.3670,55.40,1.2940,58.19
33,1.3554,56.49,1.2903,58.63
34,1.3539,56.45,1.2926,57.82
35,1.3468,56.63,1.2888,59.01
36,1.3372,57.41,1.2757,59.52
37,1.3347,57.44,1.2755,60.33
38,1.3267,58.03,1.2785,59.38
39,1.3184,58.30,1.2713,58.74
40,1.3166,58.47,1.2633,60.57
41,1.3107,58.57,1.2644,59.86
42,1.3083,58.40,1.2613,60.67
43,1.2994,59.50,1.2573,60.16
44,1.2981,59.01,1.2550,60.13
45,1.2949,59.29,1.2629,59.93
46,1.2891,59.59,1.2541,59.82
47,1.2873,59.88,1.2515,61.42
48,1.2840,59.90,1.2491,60.71
49,1.2813,60.05,1.2418,61.83
50,1.2768,59.99,1.2419,60.81
51,1.2754,60.24,1.2338,61.11
52,1.2741,60.38,1.2505,60.67
53,1.2741,60.19,1.2484,61.11
54,1.2694,60.52,1.2477,60.81
55,1.2661,60.80,1.2413,61.32
56,1.2665,60.82,1.2468,61.08
57,1.2651,60.51,1.2474,60.77
58,1.2651,60.61,1.2464,60.71
59,1.2643,60.77,1.2353,61.76
60,1.2639,61.03,1.2422,61.66
